MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924815,0.0730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,190.1640000,0.1713302,0.0207886,-0.0730296
MsgID.LOCAL_VELOCITY,190.1640000,-0.0000032,-0.0000382,0.0000125
MsgID.LOCAL_POSITION,190.4150000,0.0190934,0.1027047,-0.0645797
MsgID.LOCAL_VELOCITY,190.4150000,0.0000111,-0.0000146,0.0000225
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924801,0.0640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,190.6640000,-0.0586344,-0.1194366,-0.0546045
MsgID.LOCAL_VELOCITY,190.6640000,-0.0000106,-0.0000159,0.0000130
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924794,0.0540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,190.9150000,0.1527099,0.0084122,-0.0447806
MsgID.LOCAL_VELOCITY,190.9150000,0.0000117,0.0000120,0.0000065
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924813,0.0440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,191.1650000,0.1906197,0.1811692,-0.0367438
MsgID.LOCAL_VELOCITY,191.1650000,-0.0000102,-0.0000096,0.0000125
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924817,0.0360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,191.4150000,0.1442707,0.0362799,-0.0322919
MsgID.LOCAL_VELOCITY,191.4150000,-0.0000065,0.0000030,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924812,0.0320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,191.6640000,-0.0087037,-0.0709648,-0.0323725
